,TimeID,Day,Month,Year,Quarter,Time
142,143,23,7,2021,3,14:51:1
143,144,3,10,2020,4,17:30:53
144,145,12,9,2021,3,9:31:49
145,146,20,8,2021,3,19:18:39
146,147,11,3,2019,1,10:2:37
147,148,22,7,2021,3,19:14:7
148,149,9,2,2019,1,10:59:48
149,150,25,5,2019,2,19:23:54
150,151,3,2,2021,1,18:49:34
151,152,5,12,2019,4,10:23:35
152,153,11,4,2019,2,11:32:9
153,154,10,1,2021,1,19:19:2
154,155,17,6,2019,2,20:14:52
155,156,1,8,2019,3,11:54:33
156,157,26,1,2020,1,13:48:9
157,158,12,12,2019,4,19:4:13
158,159,7,8,2019,3,15:28:46
159,160,11,2,2019,1,17:3:59
160,161,9,6,2020,2,9:50:20
161,162,9,11,2019,4,11:6:14
162,163,23,2,2020,1,14:43:21
163,164,2,1,2019,1,21:17:57
164,165,21,1,2021,1,20:20:28
165,166,3,8,2019,3,16:45:55
166,167,6,8,2021,3,18:47:41
167,168,9,10,2020,4,20:37:32
168,169,23,7,2020,3,17:50:3
169,170,25,1,2019,1,20:56:56
170,171,17,10,2019,4,15:50:59
171,172,28,8,2020,3,13:32:51
172,173,3,1,2021,1,20:46:52
173,174,26,2,2019,1,18:41:42
174,175,3,5,2019,2,16:17:55
175,176,16,5,2021,2,10:1:3
176,177,22,5,2020,2,21:0:21
177,178,17,8,2021,3,14:5:21
178,179,26,6,2021,2,17:9:55
179,180,7,5,2021,2,14:17:31
180,181,14,2,2020,1,10:19:34
181,182,24,6,2019,2,10:0:51
182,183,27,10,2020,4,16:58:29
183,184,26,10,2020,4,11:39:21
184,185,8,4,2019,2,21:23:19
185,186,19,1,2020,1,19:44:28
186,187,18,2,2019,1,9:55:16
187,188,8,2,2021,1,14:29:12
188,189,28,1,2019,1,15:26:13
189,190,15,5,2019,2,10:7:15
190,191,8,8,2021,3,11:26:52
191,192,19,11,2019,4,19:25:36
192,193,19,3,2019,1,16:34:6
193,194,23,9,2020,3,11:48:4
194,195,26,9,2020,3,21:43:14
195,196,1,4,2021,2,9:42:48
196,197,1,1,2019,1,18:49:40
197,198,6,9,2021,3,11:44:38
198,199,22,3,2021,1,16:21:22
199,200,3,6,2021,2,13:13:24
200,201,13,2,2021,1,11:30:43
201,202,27,6,2020,2,15:44:9
202,203,24,3,2019,1,14:6:25
203,204,2,5,2020,2,18:4:54
204,205,25,1,2019,1,9:7:35
205,206,17,8,2019,3,15:28:28
206,207,11,3,2021,1,11:23:6
207,208,26,4,2021,2,14:17:59
208,209,8,6,2020,2,11:31:3
209,210,15,9,2019,3,20:57:48
210,211,20,4,2019,2,18:1:43
211,212,2,4,2019,2,20:46:35
212,213,21,1,2020,1,12:19:23
213,214,19,3,2020,1,16:24:40
214,215,16,4,2021,2,14:2:26
215,216,16,5,2020,2,18:59:48
216,217,4,10,2020,4,13:5:23
217,218,12,8,2019,3,19:30:54
218,219,21,8,2021,3,14:29:21
219,220,25,8,2021,3,10:45:28
220,221,6,1,2019,1,14:16:26
221,222,18,8,2020,3,20:52:44
222,223,3,2,2020,1,13:3:2
223,224,5,3,2020,1,10:50:49
224,225,23,7,2019,3,12:32:17
225,226,19,5,2021,2,15:26:11
226,227,13,5,2020,2,21:40:1
227,228,7,5,2021,2,9:38:5
228,229,18,1,2019,1,14:17:10
229,230,27,8,2019,3,15:50:26
230,231,25,1,2021,1,13:17:45
231,232,5,8,2019,3,11:53:33
232,233,13,3,2021,1,13:44:32
233,234,6,6,2021,2,9:12:28
234,235,5,4,2021,2,17:39:30
235,236,27,3,2020,1,21:5:51
236,237,13,2,2020,1,13:49:7
237,238,5,4,2019,2,17:39:16
238,239,9,8,2019,3,11:50:36
239,240,20,2,2019,1,18:6:9
240,241,3,10,2020,4,14:16:45
241,242,23,5,2020,2,20:47:48
242,243,26,5,2021,2,11:45:2
243,244,25,5,2019,2,11:21:47
244,245,24,10,2019,4,15:19:1
245,246,27,9,2020,3,19:34:11
246,247,7,7,2019,3,17:55:40
247,248,24,2,2021,1,10:18:31
248,249,24,7,2021,3,10:26:56
249,250,7,10,2020,4,21:8:0
250,251,6,7,2021,3,15:31:54
251,252,28,1,2021,1,13:52:56
252,253,13,4,2021,2,19:39:13
253,254,21,7,2019,3,12:5:17
254,255,17,5,2021,2,20:38:55
255,256,16,2,2020,1,10:58:5
256,257,17,6,2020,2,14:54:35
257,258,13,3,2021,1,9:25:13
258,259,5,2,2021,1,13:2:28
259,260,27,3,2019,1,17:46:57
260,261,12,1,2020,1,12:45:22
261,262,2,7,2021,3,16:49:6
262,263,22,2,2021,1,19:9:18
263,264,3,1,2019,1,17:38:34
264,265,16,8,2020,3,14:27:36
265,266,12,7,2020,3,14:2:47
266,267,5,2,2020,1,11:52:58
267,268,21,10,2019,4,11:18:0
268,269,12,1,2019,1,17:25:58
269,270,23,7,2020,3,16:26:50
270,271,20,2,2019,1,21:29:26
271,272,9,11,2019,4,11:26:53
272,273,18,6,2019,2,19:32:30
273,274,1,12,2020,4,9:44:50
274,275,9,9,2020,3,21:39:51
275,276,4,6,2019,2,13:18:51
276,277,26,9,2020,3,18:33:49
277,278,15,2,2020,1,18:33:49
278,279,2,9,2021,3,9:25:31
279,280,10,10,2020,4,20:10:23
280,281,24,7,2021,3,19:54:40
281,282,25,6,2019,2,16:48:44
282,283,11,4,2021,2,9:17:58
283,284,23,9,2019,3,16:16:10
284,285,13,8,2021,3,13:49:52
285,286,16,9,2020,3,13:9:31
286,287,21,4,2019,2,18:13:8
287,288,16,9,2021,3,20:24:14
288,289,3,8,2021,3,10:47:25
289,290,10,3,2021,1,12:42:47
290,291,19,2,2021,1,12:16:44
291,292,3,1,2020,1,11:4:47
292,293,8,1,2020,1,16:15:48
293,294,23,2,2020,1,14:32:16
294,295,25,6,2020,2,14:4:55
295,296,17,10,2020,4,17:59:1
296,297,3,3,2020,1,19:17:59
297,298,21,4,2019,2,14:10:46
298,299,9,4,2021,2,17:36:49
299,300,27,7,2021,3,17:26:3
300,301,26,1,2019,1,14:29:48
301,302,4,10,2020,4,9:39:57
302,303,6,8,2019,3,14:42:5
303,304,13,7,2021,3,19:16:31
304,305,5,2,2021,1,15:36:45
305,306,10,1,2021,1,12:25:55
306,307,26,4,2021,2,21:32:49
307,308,13,7,2021,3,20:53:35
308,309,1,4,2021,2,16:38:23
309,310,26,6,2021,2,17:33:18
310,311,14,4,2019,2,12:13:31
311,312,21,10,2020,4,20:15:57
312,313,20,4,2021,2,14:18:38
313,314,26,3,2020,1,13:55:46
314,315,26,8,2021,3,10:47:35
315,316,25,8,2021,3,12:28:30
316,317,1,5,2021,2,19:1:45
317,318,19,5,2021,2,17:47:20
318,319,13,12,2019,4,14:38:27
319,320,6,1,2021,1,19:45:13
320,321,2,12,2020,4,20:2:47
321,322,12,3,2021,1,15:3:22
322,323,9,10,2019,4,11:23:58
323,324,3,6,2021,2,13:47:53
324,325,6,8,2019,3,13:49:51
325,326,15,7,2020,3,9:36:23
326,327,23,9,2019,3,11:39:48
327,328,23,3,2019,1,18:55:44
328,329,15,11,2020,4,15:7:28
329,330,26,8,2021,3,9:42:15
330,331,4,7,2021,3,11:42:14
331,332,16,10,2020,4,13:0:33
332,333,5,7,2020,3,12:46:51
333,334,13,12,2019,4,21:5:47
334,335,2,6,2021,2,10:1:6
335,336,4,7,2021,3,12:9:55
336,337,24,6,2019,2,9:1:8
337,338,1,7,2020,3,10:53:36
338,339,13,4,2019,2,20:51:14
339,340,26,4,2019,2,9:6:7
340,341,6,9,2021,3,13:22:2
341,342,3,3,2020,1,17:12:9
342,343,11,7,2019,3,19:15:0
343,344,13,7,2019,3,15:20:28
344,345,12,7,2020,3,14:59:3
345,346,4,8,2020,3,18:0:47
346,347,10,5,2021,2,11:23:16
347,348,4,8,2021,3,13:54:30
348,349,1,6,2020,2,17:32:37
349,350,24,5,2021,2,15:41:47
350,351,21,1,2019,1,14:42:28
351,352,7,10,2019,4,18:1:7
352,353,3,6,2020,2,18:7:30
353,354,24,6,2020,2,20:54:50
354,355,21,2,2021,1,19:1:31
355,356,7,11,2020,4,21:56:21
356,357,24,11,2020,4,11:41:50
357,358,8,12,2019,4,14:11:12
358,359,1,11,2019,4,20:4:45
359,360,15,4,2019,2,15:22:40
360,361,12,6,2021,2,13:45:27
361,362,23,1,2020,1,12:4:42
362,363,22,2,2019,1,19:17:16
363,364,14,9,2021,3,10:42:21
364,365,1,10,2020,4,21:58:3
365,366,8,12,2019,4,15:35:2
366,367,6,4,2019,2,18:3:15
367,368,2,7,2021,3,12:30:1
368,369,19,7,2021,3,10:59:24
369,370,6,3,2019,1,18:18:25
370,371,4,10,2020,4,17:19:22
371,372,18,2,2021,1,17:40:15
372,373,2,7,2021,3,9:11:7
373,374,8,9,2021,3,14:26:59
374,375,2,1,2021,1,16:20:34
375,376,19,9,2021,3,9:53:29
376,377,7,1,2019,1,11:38:20
377,378,15,1,2020,1,11:57:52
378,379,25,11,2019,4,12:33:19
379,380,28,7,2021,3,16:23:2
380,381,5,1,2021,1,19:32:43
381,382,22,5,2021,2,14:26:25
382,383,26,10,2019,4,9:45:32
383,384,22,4,2021,2,13:43:12
384,385,18,1,2021,1,12:24:12
385,386,10,2,2020,1,9:38:37
386,387,27,8,2019,3,21:33:5
387,388,24,3,2019,1,15:14:26
388,389,5,1,2020,1,15:17:32
389,390,25,10,2020,4,17:49:38
390,391,21,8,2021,3,10:36:25
391,392,7,7,2021,3,11:0:42
392,393,23,8,2020,3,20:57:40
393,394,26,1,2021,1,20:48:48
394,395,23,6,2019,2,21:17:6
395,396,18,3,2020,1,20:33:44
396,397,14,3,2021,1,13:40:3
397,398,21,1,2020,1,18:32:20
398,399,26,3,2020,1,20:1:9
399,400,24,6,2020,2,11:3:59
400,401,14,2,2019,1,19:3:48
401,402,10,3,2019,1,17:43:38
402,403,7,12,2019,4,10:36:20
403,404,14,3,2019,1,18:45:36
404,405,24,5,2019,2,13:58:0
405,406,27,5,2021,2,18:7:6
406,407,7,7,2019,3,11:51:19
407,408,1,3,2021,1,14:41:31
408,409,3,12,2019,4,16:7:21
409,410,10,5,2020,2,16:28:29
410,411,21,7,2021,3,13:58:19
411,412,13,2,2019,1,21:53:38
412,413,20,3,2021,1,20:56:34
413,414,12,12,2019,4,16:27:39
414,415,3,5,2021,2,9:38:5
415,416,9,6,2021,2,16:38:53
416,417,2,10,2020,4,19:7:34
417,418,15,5,2020,2,15:51:48
418,419,28,9,2021,3,16:0:27
419,420,25,5,2021,2,17:29:58
420,421,25,1,2019,1,15:42:40
421,422,9,12,2019,4,17:9:24
422,423,27,12,2020,4,20:13:10
423,424,13,7,2020,3,15:2:48
424,425,18,1,2019,1,14:14:25
425,426,21,2,2019,1,19:20:33
426,427,2,12,2020,4,12:50:32
427,428,26,11,2019,4,18:29:42
428,429,25,2,2020,1,20:54:20
429,430,9,2,2021,1,12:43:6
430,431,26,12,2019,4,9:2:32
431,432,26,9,2020,3,14:42:16
432,433,21,9,2021,3,11:8:29
433,434,8,9,2021,3,12:2:1
434,435,16,5,2020,2,12:44:8
435,436,26,1,2020,1,13:36:51
436,437,3,3,2019,1,10:19:9
437,438,5,3,2021,1,14:15:22
438,439,13,12,2020,4,20:44:30
439,440,19,5,2019,2,16:2:32
440,441,24,6,2021,2,17:44:0
441,442,11,6,2019,2,9:3:59
442,443,7,4,2019,2,18:54:52
443,444,25,4,2020,2,21:35:34
444,445,5,8,2021,3,17:9:14
445,446,18,7,2021,3,15:4:12
446,447,17,8,2019,3,15:53:41
447,448,6,2,2019,1,15:8:48
448,449,28,7,2019,3,20:32:12
449,450,10,3,2020,1,15:53:31
450,451,10,1,2021,1,20:41:27
451,452,17,8,2019,3,10:59:29
452,453,23,2,2021,1,10:15:28
453,454,25,4,2020,2,19:57:19
454,455,15,4,2021,2,16:34:58
455,456,9,3,2021,1,14:56:39
456,457,20,9,2021,3,16:29:34
457,458,11,4,2019,2,15:0:6
458,459,2,6,2020,2,20:13:59
459,460,25,1,2021,1,9:46:24
460,461,8,8,2020,3,15:9:14
461,462,10,3,2021,1,15:12:49
462,463,21,7,2021,3,20:2:43
463,464,3,9,2019,3,14:11:7
464,465,25,1,2019,1,9:48:0
465,466,24,10,2019,4,20:34:49
466,467,6,9,2019,3,14:16:7
467,468,26,3,2019,1,19:30:44
468,469,8,7,2019,3,11:10:53
469,470,22,8,2019,3,9:21:22
470,471,19,5,2021,2,10:27:47
471,472,10,3,2021,1,11:29:23
472,473,7,4,2021,2,12:51:22
473,474,25,8,2019,3,14:17:42
474,475,27,2,2021,1,19:22:16
475,476,15,11,2020,4,15:5:13
476,477,17,7,2020,3,10:34:57
477,478,10,6,2020,2,15:30:59
478,479,8,11,2020,4,19:42:45
479,480,19,6,2020,2,15:31:7
480,481,13,6,2020,2,16:15:35
481,482,25,9,2019,3,14:44:37
482,483,21,6,2019,2,11:9:15
483,484,9,3,2021,1,19:36:59
484,485,23,2,2020,1,18:38:53
485,486,3,9,2020,3,21:39:4
486,487,28,8,2019,3,15:53:23
487,488,11,8,2020,3,10:29:48
488,489,26,4,2021,2,9:52:29
489,490,19,2,2019,1,14:6:30
490,491,23,8,2019,3,9:37:57
491,492,16,10,2020,4,20:50:50
492,493,3,8,2019,3,15:28:18
493,494,28,3,2019,1,10:21:11
494,495,27,8,2021,3,19:12:54
495,496,13,3,2021,1,16:23:5
496,497,3,5,2021,2,21:19:43
497,498,16,3,2020,1,17:58:57
498,499,16,4,2020,2,17:24:54
499,500,27,11,2019,4,13:39:15
500,501,22,2,2019,1,14:44:6
501,502,5,10,2020,4,11:9:19
502,503,1,8,2019,3,18:7:50
503,504,21,1,2020,1,18:57:10
504,505,28,4,2021,2,11:43:33
505,506,17,6,2021,2,19:41:53
506,507,3,2,2019,1,9:36:29
507,508,3,7,2020,3,20:56:2
508,509,14,12,2019,4,20:51:56
509,510,6,6,2020,2,15:34:35
510,511,20,4,2020,2,9:11:1
511,512,15,8,2021,3,14:20:31
512,513,22,1,2021,1,13:58:15
513,514,13,3,2019,1,16:54:21
514,515,21,4,2021,2,17:52:9
515,516,14,8,2021,3,11:24:54
516,517,19,5,2020,2,14:51:22
517,518,11,1,2021,1,16:14:36
518,519,14,6,2020,2,12:11:18
519,520,11,11,2019,4,18:51:34
520,521,24,10,2019,4,12:29:14
521,522,20,7,2019,3,21:33:47
522,523,5,2,2021,1,11:8:13
523,524,10,10,2020,4,10:39:58
524,525,1,11,2020,4,21:37:36
525,526,2,5,2019,2,10:34:48
526,527,12,6,2019,2,18:5:30
527,528,16,7,2019,3,11:22:56
528,529,6,9,2021,3,21:46:48
529,530,21,2,2019,1,20:50:3
530,531,20,6,2021,2,13:8:46
531,532,17,5,2021,2,16:9:8
532,533,22,4,2019,2,20:11:13
533,534,9,7,2020,3,20:33:29
534,535,17,2,2021,1,16:21:31
535,536,18,10,2019,4,17:40:18
536,537,8,12,2020,4,18:26:49
537,538,13,7,2021,3,11:43:47
538,539,2,12,2019,4,19:59:41
539,540,5,2,2021,1,17:32:21
540,541,14,3,2019,1,14:36:1
541,542,26,6,2019,2,11:52:4
542,543,3,8,2021,3,17:4:54
543,544,18,10,2020,4,10:38:31
544,545,18,3,2019,1,18:22:35
545,546,17,4,2019,2,13:59:52
546,547,2,5,2021,2,19:47:34
547,548,8,4,2019,2,10:30:3
548,549,12,7,2021,3,11:11:0
549,550,1,10,2020,4,21:7:13
550,551,19,1,2020,1,15:3:28
551,552,10,7,2021,3,15:2:7
552,553,21,2,2021,1,10:18:47
553,554,20,2,2021,1,20:24:50
554,555,24,8,2019,3,21:54:52
555,556,17,10,2020,4,13:56:18
556,557,1,6,2020,2,11:36:11
557,558,12,4,2019,2,19:59:23
558,559,13,1,2020,1,20:4:29
559,560,23,10,2020,4,20:14:59
560,561,14,6,2021,2,16:56:5
561,562,26,6,2019,2,10:5:32
562,563,5,2,2019,1,19:8:58
563,564,12,9,2021,3,9:26:49
564,565,21,4,2019,2,13:29:57
565,566,28,6,2021,2,11:46:42
566,567,25,2,2019,1,18:6:19
567,568,20,11,2020,4,13:18:57
568,569,6,9,2019,3,12:36:16
569,570,11,2,2021,1,20:32:20
570,571,13,6,2019,2,10:44:44
571,572,27,3,2021,1,10:28:8
572,573,1,12,2020,4,13:39:40
573,574,15,8,2021,3,14:29:32
574,575,11,3,2019,1,20:29:9
575,576,22,7,2021,3,13:10:45
576,577,13,5,2021,2,11:42:43
577,578,22,7,2019,3,17:28:44
578,579,3,1,2021,1,14:21:7
579,580,14,9,2020,3,14:25:36
580,581,22,1,2021,1,17:33:56
581,582,6,10,2020,4,17:15:56
582,583,7,1,2019,1,18:27:21
583,584,26,9,2019,3,16:5:30
584,585,8,8,2019,3,16:27:4
585,586,25,4,2021,2,18:26:23
586,587,9,3,2021,1,16:17:1
587,588,25,11,2019,4,13:11:59
588,589,25,4,2021,2,18:51:14
589,590,11,9,2020,3,13:5:46
590,591,17,9,2019,3,17:23:3
591,592,26,5,2019,2,17:38:44
592,593,24,4,2020,2,11:13:1
593,594,21,5,2021,2,15:22:17
594,595,25,6,2019,2,14:19:16
595,596,11,4,2021,2,21:15:14
596,597,21,6,2021,2,12:19:15
597,598,25,12,2020,4,14:8:52
598,599,23,4,2020,2,17:22:42
599,600,22,2,2021,1,14:51:36
600,601,8,1,2021,1,9:1:44
601,602,18,3,2021,1,9:41:13
602,603,8,4,2021,2,15:56:56
603,604,13,11,2020,4,15:39:54
604,605,5,9,2021,3,17:39:46
605,606,27,1,2020,1,9:3:25
606,607,25,6,2020,2,11:47:6
607,608,12,3,2019,1,21:37:28
608,609,3,11,2019,4,16:19:45
609,610,13,11,2020,4,14:42:43
610,611,6,10,2019,4,12:2:22
611,612,20,6,2021,2,18:40:25
612,613,4,12,2019,4,9:57:53
613,614,8,10,2019,4,9:29:22
614,615,14,9,2019,3,15:58:24
615,616,27,8,2019,3,11:7:17
616,617,5,7,2021,3,20:36:23
617,618,25,10,2019,4,16:30:11
618,619,1,9,2020,3,14:24:43
619,620,8,12,2020,4,21:21:2
620,621,14,12,2020,4,11:48:45
621,622,17,6,2019,2,15:0:6
622,623,4,1,2021,1,17:38:6
623,624,4,3,2020,1,21:28:17
624,625,25,10,2019,4,12:5:37
625,626,10,4,2020,2,13:26:57
626,627,6,9,2019,3,19:58:3
627,628,3,2,2021,1,10:41:35
628,629,2,2,2020,1,11:22:59
629,630,13,3,2020,1,17:35:40
630,631,21,12,2019,4,9:21:42
631,632,20,8,2021,3,19:10:13
632,633,7,4,2019,2,11:11:30
633,634,15,3,2021,1,11:54:42
634,635,20,9,2021,3,21:24:21
635,636,6,12,2019,4,14:53:11
636,637,16,6,2021,2,10:38:55
637,638,16,7,2019,3,14:28:53
638,639,28,2,2021,1,16:45:33
639,640,16,6,2020,2,10:39:4
640,641,11,7,2020,3,21:9:15
641,642,10,7,2021,3,14:29:42
642,643,5,7,2021,3,15:35:6
643,644,15,10,2019,4,11:37:49
644,645,6,8,2021,3,18:33:48
645,646,26,1,2021,1,12:53:0
646,647,5,7,2021,3,10:4:55
647,648,2,9,2020,3,9:23:20
648,649,26,3,2021,1,10:31:49
649,650,22,9,2019,3,21:26:33
650,651,16,2,2020,1,17:14:13
651,652,3,6,2020,2,18:23:6
652,653,26,9,2020,3,15:21:58
653,654,17,1,2021,1,19:47:11
654,655,19,3,2021,1,11:29:58
655,656,22,7,2021,3,16:43:52
656,657,27,2,2021,1,15:1:57
657,658,19,7,2020,3,21:25:28
658,659,24,7,2019,3,21:38:18
659,660,3,3,2021,1,21:22:44
660,661,19,1,2019,1,11:10:38
661,662,11,9,2021,3,10:14:56
662,663,23,9,2020,3,12:55:30
663,664,28,10,2019,4,11:31:46
664,665,7,8,2020,3,14:51:46
665,666,1,10,2019,4,14:20:46
666,667,21,7,2021,3,18:37:26
667,668,11,5,2020,2,16:44:51
668,669,25,11,2019,4,18:20:45
669,670,20,8,2019,3,21:23:22
670,671,5,6,2020,2,16:53:25
671,672,12,7,2020,3,10:57:57
672,673,24,10,2020,4,10:1:59
673,674,12,7,2020,3,9:18:38
674,675,19,3,2020,1,9:29:21
675,676,15,5,2020,2,21:41:32
676,677,9,3,2020,1,9:37:33
677,678,17,2,2020,1,12:56:54
678,679,3,8,2021,3,19:25:32
679,680,19,2,2020,1,14:4:32
680,681,21,4,2019,2,11:28:45
681,682,25,9,2021,3,14:20:46
682,683,2,6,2020,2,14:28:3
683,684,5,4,2021,2,19:34:41
684,685,2,9,2021,3,18:28:9
685,686,28,5,2021,2,19:40:33
686,687,6,1,2019,1,19:40:13
687,688,20,7,2021,3,15:19:19
688,689,16,10,2020,4,19:41:40
689,690,1,4,2021,2,14:34:58
690,691,2,1,2020,1,13:44:40
691,692,19,1,2021,1,20:16:20
692,693,26,1,2019,1,14:55:14
693,694,24,2,2021,1,10:39:48
694,695,21,11,2019,4,17:8:18
695,696,12,7,2021,3,17:52:19
696,697,20,8,2020,3,15:28:28
697,698,11,3,2020,1,15:13:27
698,699,9,5,2019,2,19:32:52
699,700,23,9,2021,3,19:32:38
700,701,20,3,2019,1,13:45:51
701,702,4,9,2020,3,18:46:44
702,703,17,7,2021,3,19:3:24
703,704,8,1,2020,1,15:16:35
704,705,2,2,2020,1,15:23:33
705,706,22,3,2020,1,20:33:51
706,707,12,10,2020,4,11:55:14
707,708,2,11,2020,4,15:28:17
708,709,9,7,2019,3,19:8:38
709,710,4,3,2019,1,12:41:23
710,711,28,12,2020,4,17:1:16
711,712,18,1,2021,1,14:3:6
712,713,2,4,2020,2,17:47:42
713,714,22,9,2020,3,9:8:25
714,715,28,4,2021,2,18:18:15
715,716,24,6,2020,2,15:22:43
716,717,5,7,2021,3,18:13:39
717,718,8,3,2021,1,12:49:30
718,719,21,9,2021,3,15:18:38
719,720,16,5,2019,2,10:38:27
720,721,6,6,2019,2,9:33:1
721,722,4,5,2021,2,17:44:18
722,723,5,2,2020,1,18:12:30
723,724,26,1,2021,1,18:16:49
724,725,18,7,2020,3,11:49:32
725,726,2,1,2019,1,21:30:37
726,727,16,9,2020,3,12:13:31
727,728,16,12,2019,4,16:37:10
728,729,13,6,2020,2,16:8:17
729,730,6,5,2019,2,17:55:17
730,731,6,9,2019,3,11:15:40
731,732,21,1,2019,1,15:37:53
732,733,13,8,2019,3,15:41:48
733,734,16,9,2021,3,16:22:53
