,SaleID,MenuItemID,MenuItemQuantity,Total,TimeID
135,45,19,1,2.99,10044
136,46,29,1,3.0,10045
137,46,9,4,47.56,10045
138,46,20,2,9.0,10045
139,46,3,5,64.45,10045
140,46,27,2,3.0,10045
141,47,21,3,7.5,10046
142,47,11,5,73.94999999999999,10046
143,47,26,4,25.0,10046
144,47,5,4,46.6,10046
145,48,20,1,4.5,10047
146,48,21,5,12.5,10047
147,48,21,1,2.5,10047
148,49,26,1,6.25,10048
149,49,18,4,30.0,10048
150,50,30,1,3.75,10049
151,50,2,1,11.69,10049
152,50,19,4,11.96,10049
153,50,9,4,47.56,10049
154,51,13,5,73.94999999999999,10050
155,51,19,5,14.950000000000001,10050
156,51,19,5,14.950000000000001,10050
157,51,27,2,3.0,10050
158,52,26,2,12.5,10051
159,52,5,1,11.65,10051
160,53,24,1,4.4,10052
161,53,25,2,15.0,10052
162,53,3,1,12.89,10052
163,53,23,2,17.9,10052
164,53,28,4,9.96,10052
165,54,26,4,25.0,10053
166,54,27,1,1.5,10053
167,54,2,1,11.69,10053
168,54,22,3,6.0,10053
169,54,30,1,3.75,10053
170,55,13,1,14.79,10054
171,55,6,3,29.849999999999998,10054
172,55,1,5,52.45,10054
173,55,6,5,49.75,10054
174,56,23,4,35.8,10055
175,56,1,5,52.45,10055
176,56,10,5,73.94999999999999,10055
177,57,16,5,37.5,10056
178,57,25,3,22.5,10056
179,58,17,3,22.5,10057
180,58,12,4,59.16,10057
181,58,1,3,31.47,10057
182,58,2,3,35.07,10057
183,58,28,5,12.450000000000001,10057
184,59,11,4,59.16,10058
185,59,1,3,31.47,10058
186,60,10,4,59.16,10059
187,60,29,3,9.0,10059
188,60,5,2,23.3,10059
189,60,25,2,15.0,10059
190,61,27,1,1.5,10060
191,61,6,4,39.8,10060
192,61,8,2,19.9,10060
193,62,14,4,53.96,10061
194,62,23,1,8.95,10061
195,62,10,2,29.58,10061
196,62,26,5,31.25,10061
197,63,17,1,7.5,10062
198,63,3,5,64.45,10062
199,63,24,4,17.6,10062
200,64,23,2,17.9,10063
201,65,2,2,23.38,10064
202,66,10,5,73.94999999999999,10065
203,67,26,1,6.25,10066
204,67,16,1,7.5,10066
205,67,12,4,59.16,10066
206,67,9,5,59.45,10066
207,67,20,3,13.5,10066
208,68,23,1,8.95,10067
209,68,19,5,14.950000000000001,10067
210,68,22,3,6.0,10067
211,68,10,5,73.94999999999999,10067
212,69,24,4,17.6,10068
213,69,28,5,12.450000000000001,10068
214,69,11,3,44.37,10068
215,69,18,2,15.0,10068
216,69,25,4,30.0,10068
217,70,19,1,2.99,10069
218,70,4,2,34.5,10069
219,71,27,2,3.0,10070
220,71,22,3,6.0,10070
221,71,28,2,4.98,10070
222,71,21,1,2.5,10070
223,71,4,2,34.5,10070
224,72,10,3,44.37,10071
225,72,12,4,59.16,10071
226,73,1,2,20.98,10072
227,73,1,2,20.98,10072
228,73,30,5,18.75,10072
229,73,5,1,11.65,10072
230,74,18,1,7.5,10073
231,74,21,4,10.0,10073
232,74,1,3,31.47,10073
233,74,19,4,11.96,10073
234,75,28,4,9.96,10074
235,76,17,4,30.0,10075
236,76,15,3,27.75,10075
237,76,20,3,13.5,10075
238,76,10,2,29.58,10075
239,76,4,2,34.5,10075
240,77,29,3,9.0,10076
241,78,13,5,73.94999999999999,10077
242,78,13,2,29.58,10077
243,78,11,4,59.16,10077
244,78,22,3,6.0,10077
245,78,3,5,64.45,10077
246,79,1,5,52.45,10078
247,79,20,4,18.0,10078
248,79,14,1,13.49,10078
249,79,9,3,35.67,10078
250,80,15,1,9.25,10079
251,81,13,2,29.58,10080
252,81,1,2,20.98,10080
253,82,7,3,38.25,10081
254,82,28,1,2.49,10081
255,83,29,3,9.0,10082
256,83,15,2,18.5,10082
257,83,24,2,8.8,10082
258,83,16,2,15.0,10082
259,84,16,1,7.5,10083
260,84,16,4,30.0,10083
261,84,18,4,30.0,10083
262,84,2,5,58.449999999999996,10083
263,85,8,2,19.9,10084
264,85,11,1,14.79,10084
265,85,11,4,59.16,10084
266,86,22,4,8.0,10085
267,86,7,5,63.75,10085
268,87,10,1,14.79,10086
269,87,1,5,52.45,10086
270,87,28,3,7.470000000000001,10086
271,87,5,2,23.3,10086
272,87,17,1,7.5,10086
273,88,11,3,44.37,10087
274,88,19,5,14.950000000000001,10087
275,88,1,4,41.96,10087
276,89,16,5,37.5,10088
277,89,30,5,18.75,10088
278,89,4,3,51.75,10088
279,89,30,5,18.75,10088
280,90,16,5,37.5,10089
281,90,6,5,49.75,10089
282,91,27,2,3.0,10090
283,91,19,5,14.950000000000001,10090
284,91,13,3,44.37,10090
285,91,3,2,25.78,10090
286,92,29,5,15.0,10091
287,92,6,4,39.8,10091
288,92,22,5,10.0,10091
289,93,9,1,11.89,10092
290,94,23,1,8.95,10093
291,95,6,3,29.849999999999998,10094
292,96,20,4,18.0,10095
293,96,14,5,67.45,10095
294,96,21,1,2.5,10095
295,97,20,4,18.0,10096
296,97,22,5,10.0,10096
297,98,29,2,6.0,10097
298,98,11,2,29.58,10097
299,98,1,4,41.96,10097
300,99,20,2,9.0,10098
301,99,30,5,18.75,10098
302,100,7,1,12.75,10099
303,100,1,1,10.49,10099
304,101,10,4,59.16,10100
305,101,27,2,3.0,10100
306,101,30,3,11.25,10100
307,101,25,2,15.0,10100
308,101,11,4,59.16,10100
309,102,28,3,7.470000000000001,10101
310,102,22,4,8.0,10101
311,102,10,5,73.94999999999999,10101
312,102,9,3,35.67,10101
313,102,28,2,4.98,10101
314,103,1,2,20.98,10102
315,103,29,2,6.0,10102
316,103,20,1,4.5,10102
317,103,13,2,29.58,10102
318,104,2,4,46.76,10103
319,104,23,2,17.9,10103
320,104,28,2,4.98,10103
321,104,16,5,37.5,10103
322,104,16,4,30.0,10103
323,105,16,1,7.5,10104
324,105,20,2,9.0,10104
325,105,7,2,25.5,10104
326,105,4,2,34.5,10104
327,105,5,5,58.25,10104
328,106,14,2,26.98,10105
329,106,7,2,25.5,10105
330,106,15,5,46.25,10105
331,107,8,2,19.9,10106
332,107,12,5,73.94999999999999,10106
333,108,23,3,26.849999999999998,10107
334,108,10,5,73.94999999999999,10107
335,109,2,2,23.38,10108
336,109,18,3,22.5,10108
337,109,13,5,73.94999999999999,10108
338,109,12,3,44.37,10108
339,109,24,5,22.0,10108
340,110,9,1,11.89,10109
341,110,7,5,63.75,10109
342,110,16,2,15.0,10109
343,110,25,1,7.5,10109
344,111,18,1,7.5,10110
345,111,12,2,29.58,10110
346,111,10,4,59.16,10110
347,111,17,4,30.0,10110
348,111,14,2,26.98,10110
349,112,1,5,52.45,10111
350,112,11,5,73.94999999999999,10111
351,113,9,2,23.78,10112
352,113,28,4,9.96,10112
353,113,21,3,7.5,10112
354,113,18,4,30.0,10112
355,114,11,4,59.16,10113
356,114,17,5,37.5,10113
357,114,28,3,7.470000000000001,10113
358,114,5,2,23.3,10113
359,114,5,2,23.3,10113
360,115,14,1,13.49,10114
361,115,15,4,37.0,10114
362,115,3,4,51.56,10114
363,116,14,5,67.45,10115
364,116,20,2,9.0,10115
365,117,6,1,9.95,10116
366,118,4,2,34.5,10117
367,118,29,4,12.0,10117
368,118,26,1,6.25,10117
369,118,3,1,12.89,10117
370,119,4,3,51.75,10118
371,119,20,1,4.5,10118
372,119,2,4,46.76,10118
373,120,7,4,51.0,10119
374,121,30,3,11.25,10120
375,121,3,1,12.89,10120
376,121,7,3,38.25,10120
377,121,17,1,7.5,10120
378,122,25,1,7.5,10121
379,122,22,1,2.0,10121
380,122,16,2,15.0,10121
381,122,16,3,22.5,10121
382,122,19,3,8.97,10121
383,123,13,5,73.94999999999999,10122
384,124,10,3,44.37,10123
385,124,30,5,18.75,10123
386,124,7,5,63.75,10123
387,124,12,2,29.58,10123
388,125,2,4,46.76,10124
389,125,28,1,2.49,10124
390,125,8,4,39.8,10124
391,125,12,3,44.37,10124
392,125,28,3,7.470000000000001,10124
393,126,12,5,73.94999999999999,10125
394,126,7,3,38.25,10125
395,126,18,2,15.0,10125
396,127,2,2,23.38,10126
397,127,5,2,23.3,10126
398,127,17,2,15.0,10126
399,128,22,5,10.0,10127
400,128,30,1,3.75,10127
401,129,29,3,9.0,10128
402,129,24,3,13.200000000000001,10128
403,130,2,5,58.449999999999996,10129
404,131,23,2,17.9,10130
405,131,25,4,30.0,10130
406,132,10,2,29.58,10131
407,132,6,1,9.95,10131
408,132,12,2,29.58,10131
409,132,2,4,46.76,10131
410,133,23,3,26.849999999999998,10132
411,134,27,5,7.5,10133
412,134,29,3,9.0,10133
413,134,7,1,12.75,10133
414,134,15,2,18.5,10133
415,135,9,4,47.56,10134
416,135,11,5,73.94999999999999,10134
417,136,16,1,7.5,10135
418,137,12,2,29.58,10136
419,137,4,4,69.0,10136
420,137,29,3,9.0,10136
421,137,13,3,44.37,10136
422,138,13,1,14.79,10137
423,138,28,4,9.96,10137
424,138,14,4,53.96,10137
425,139,29,1,3.0,10138
426,140,12,2,29.58,10139
427,140,21,5,12.5,10139
428,140,20,1,4.5,10139
429,141,2,3,35.07,10140
430,142,25,5,37.5,10141
431,142,12,2,29.58,10141
432,142,10,1,14.79,10141
433,143,12,5,73.94999999999999,10142
434,144,7,5,63.75,10143
435,144,11,2,29.58,10143
436,144,8,4,39.8,10143
437,145,29,1,3.0,10144
438,146,6,4,39.8,10145
439,146,13,2,29.58,10145
440,146,13,4,59.16,10145
441,147,22,5,10.0,10146
442,147,3,5,64.45,10146
443,148,10,1,14.79,10147
444,148,8,4,39.8,10147
445,148,12,5,73.94999999999999,10147
446,149,30,2,7.5,10148
447,150,1,3,31.47,10149
448,151,3,1,12.89,10150
449,151,26,1,6.25,10150
450,151,23,4,35.8,10150
451,151,9,4,47.56,10150
452,151,3,2,25.78,10150
453,152,18,2,15.0,10151
454,152,28,5,12.450000000000001,10151
455,152,30,3,11.25,10151
456,152,2,1,11.69,10151
457,152,4,2,34.5,10151
458,153,1,3,31.47,10152
459,153,7,3,38.25,10152
460,153,29,4,12.0,10152
461,153,27,3,4.5,10152
462,154,22,5,10.0,10153
463,155,2,1,11.69,10154
464,155,5,3,34.95,10154
465,155,11,5,73.94999999999999,10154
466,155,11,2,29.58,10154
467,155,21,2,5.0,10154
468,156,12,1,14.79,10155
469,157,28,5,12.450000000000001,10156
470,157,27,4,6.0,10156
471,157,4,4,69.0,10156
472,158,12,3,44.37,10157
473,159,21,4,10.0,10158
474,160,22,5,10.0,10159
475,160,3,4,51.56,10159
476,161,1,3,31.47,10160
477,161,13,5,73.94999999999999,10160
478,161,23,5,44.75,10160
479,162,16,4,30.0,10161
480,162,23,4,35.8,10161
481,162,5,1,11.65,10161
482,162,4,2,34.5,10161
483,163,19,1,2.99,10162
484,163,21,3,7.5,10162
485,163,5,3,34.95,10162
486,164,21,1,2.5,10163
487,164,25,3,22.5,10163
488,164,16,2,15.0,10163
489,165,1,5,52.45,10164
490,165,30,4,15.0,10164
491,165,4,3,51.75,10164
492,165,28,1,2.49,10164
493,165,28,5,12.450000000000001,10164
494,166,21,2,5.0,10165
495,166,21,2,5.0,10165
496,166,2,5,58.449999999999996,10165
497,167,15,3,27.75,10166
498,167,29,2,6.0,10166
499,167,1,5,52.45,10166
500,168,18,1,7.5,10167
501,169,16,4,30.0,10168
502,169,16,2,15.0,10168
503,169,15,2,18.5,10168
504,169,1,1,10.49,10168
505,170,14,5,67.45,10169
506,170,10,5,73.94999999999999,10169
507,171,18,5,37.5,10170
508,171,18,5,37.5,10170
509,171,27,1,1.5,10170
510,172,3,2,25.78,10171
511,172,26,1,6.25,10171
512,172,13,2,29.58,10171
513,172,12,2,29.58,10171
514,173,11,3,44.37,10172
515,173,9,3,35.67,10172
516,173,30,5,18.75,10172
517,173,1,4,41.96,10172
518,174,5,3,34.95,10173
519,174,17,1,7.5,10173
520,174,29,1,3.0,10173
521,175,1,4,41.96,10174
522,175,7,3,38.25,10174
523,176,14,4,53.96,10175
524,176,5,1,11.65,10175
525,176,25,1,7.5,10175
526,177,19,1,2.99,10176
527,178,16,5,37.5,10177
528,178,11,5,73.94999999999999,10177
529,178,3,5,64.45,10177
530,179,25,1,7.5,10178
531,179,9,5,59.45,10178
532,180,19,3,8.97,10179
533,180,26,1,6.25,10179
534,180,11,1,14.79,10179
535,180,12,4,59.16,10179
536,181,25,3,22.5,10180
537,181,12,3,44.37,10180
538,181,11,5,73.94999999999999,10180
539,182,20,1,4.5,10181
540,182,14,4,53.96,10181
541,182,10,4,59.16,10181
542,182,18,1,7.5,10181
543,182,1,3,31.47,10181
544,183,27,1,1.5,10182
545,184,3,4,51.56,10183
546,184,8,3,29.849999999999998,10183
547,184,21,5,12.5,10183
548,184,10,2,29.58,10183
549,185,24,2,8.8,10184
550,185,2,3,35.07,10184
551,185,26,1,6.25,10184
552,186,5,1,11.65,10185
553,186,24,3,13.200000000000001,10185
554,187,17,3,22.5,10186
555,187,5,1,11.65,10186
556,187,27,1,1.5,10186
557,187,8,1,9.95,10186
558,188,2,5,58.449999999999996,10187
559,188,13,2,29.58,10187
560,188,8,2,19.9,10187
561,188,28,3,7.470000000000001,10187
562,189,3,4,51.56,10188
563,189,16,4,30.0,10188
564,189,6,1,9.95,10188
565,190,26,4,25.0,10189
566,190,25,4,30.0,10189
567,190,17,4,30.0,10189
568,190,19,4,11.96,10189
569,190,18,3,22.5,10189
570,191,21,2,5.0,10190
571,191,29,3,9.0,10190
572,191,15,4,37.0,10190
573,191,4,1,17.25,10190
574,192,17,3,22.5,10191
575,192,25,2,15.0,10191
576,192,3,4,51.56,10191
577,192,14,1,13.49,10191
578,193,23,3,26.849999999999998,10192
579,193,7,2,25.5,10192
580,193,4,2,34.5,10192
581,193,9,1,11.89,10192
582,193,29,3,9.0,10192
583,194,26,3,18.75,10193
584,194,10,4,59.16,10193
585,194,17,1,7.5,10193
586,194,18,5,37.5,10193
587,195,2,5,58.449999999999996,10194
588,195,17,1,7.5,10194
589,195,3,5,64.45,10194
590,196,8,4,39.8,10195
591,196,12,3,44.37,10195
592,196,21,1,2.5,10195
593,196,20,1,4.5,10195
594,197,12,3,44.37,10196
595,198,15,4,37.0,10197
596,198,5,5,58.25,10197
597,198,15,1,9.25,10197
598,198,23,3,26.849999999999998,10197
599,199,17,5,37.5,10198
600,199,26,2,12.5,10198
601,199,15,1,9.25,10198
602,199,19,4,11.96,10198
603,200,6,4,39.8,10199
604,201,4,3,51.75,10200
605,201,23,1,8.95,10200
606,201,29,2,6.0,10200
607,201,20,4,18.0,10200
608,201,1,4,41.96,10200
609,202,23,5,44.75,10201
610,203,30,5,18.75,10202
611,203,23,1,8.95,10202
612,203,6,4,39.8,10202
613,203,1,5,52.45,10202
614,204,2,1,11.69,10203
615,204,19,1,2.99,10203
616,204,9,3,35.67,10203
617,204,18,3,22.5,10203
618,204,22,4,8.0,10203
619,205,6,3,29.849999999999998,10204
620,205,29,5,15.0,10204
621,205,29,5,15.0,10204
622,205,12,2,29.58,10204
623,205,12,4,59.16,10204
624,206,12,4,59.16,10205
625,207,17,3,22.5,10206
626,207,11,2,29.58,10206
627,207,21,4,10.0,10206
628,207,4,2,34.5,10206
629,207,3,5,64.45,10206
630,208,5,2,23.3,10207
631,208,5,2,23.3,10207
632,208,13,4,59.16,10207
633,209,10,4,59.16,10208
634,209,26,2,12.5,10208
635,209,5,5,58.25,10208
636,210,3,3,38.67,10209
637,210,9,1,11.89,10209
638,210,20,2,9.0,10209
639,210,25,1,7.5,10209
640,211,6,1,9.95,10210
641,211,10,4,59.16,10210
642,211,29,3,9.0,10210
643,211,5,3,34.95,10210
644,211,22,3,6.0,10210
645,212,12,5,73.94999999999999,10211
646,212,18,3,22.5,10211
647,212,14,3,40.47,10211
648,212,30,3,11.25,10211
649,213,15,4,37.0,10212
650,213,30,2,7.5,10212
651,213,18,3,22.5,10212
652,213,4,4,69.0,10212
653,214,12,1,14.79,10213
654,214,12,4,59.16,10213
655,214,14,5,67.45,10213
656,215,8,1,9.95,10214
657,215,2,5,58.449999999999996,10214
658,215,11,4,59.16,10214
659,215,29,1,3.0,10214
660,215,28,2,4.98,10214
661,216,7,1,12.75,10215
662,216,3,4,51.56,10215
663,216,13,2,29.58,10215
664,216,29,5,15.0,10215
665,217,10,1,14.79,10216
666,218,8,3,29.849999999999998,10217
667,218,16,2,15.0,10217
668,219,1,5,52.45,10218
669,219,5,2,23.3,10218
670,219,11,4,59.16,10218
671,220,30,5,18.75,10219
672,221,26,5,31.25,10220
673,221,28,3,7.470000000000001,10220
674,221,8,4,39.8,10220
675,221,8,1,9.95,10220
676,221,9,2,23.78,10220
677,222,30,1,3.75,10221
678,222,5,1,11.65,10221
679,222,15,1,9.25,10221
680,222,6,4,39.8,10221
681,223,15,1,9.25,10222
682,224,14,1,13.49,10223
683,224,3,4,51.56,10223
684,224,19,5,14.950000000000001,10223
685,224,30,4,15.0,10223
686,224,26,1,6.25,10223
687,225,3,2,25.78,10224
688,225,16,4,30.0,10224
689,225,20,3,13.5,10224
690,225,7,3,38.25,10224
691,226,4,3,51.75,10225
692,226,28,1,2.49,10225
693,226,4,1,17.25,10225
694,227,3,1,12.89,10226
695,227,22,2,4.0,10226
696,227,16,1,7.5,10226
697,228,2,5,58.449999999999996,10227
698,228,20,5,22.5,10227
699,228,8,2,19.9,10227
700,228,4,1,17.25,10227
701,229,1,1,10.49,10228
702,229,29,1,3.0,10228
703,229,7,5,63.75,10228
704,230,5,4,46.6,10229
705,230,16,4,30.0,10229
706,230,20,4,18.0,10229
707,231,22,3,6.0,10230
708,231,16,2,15.0,10230
709,232,25,1,7.5,10231
710,232,23,5,44.75,10231
711,232,10,3,44.37,10231
712,232,6,4,39.8,10231
713,233,19,3,8.97,10232
714,233,13,5,73.94999999999999,10232
715,233,29,1,3.0,10232
716,233,9,2,23.78,10232
717,233,29,1,3.0,10232
718,234,27,5,7.5,10233
719,234,5,1,11.65,10233
720,234,12,5,73.94999999999999,10233
721,234,18,4,30.0,10233
722,235,23,2,17.9,10234
723,235,27,5,7.5,10234
724,236,27,1,1.5,10235
725,236,21,3,7.5,10235
726,236,16,2,15.0,10235
727,236,11,3,44.37,10235
728,237,17,3,22.5,10236
729,237,20,4,18.0,10236
730,238,2,2,23.38,10237
731,238,8,3,29.849999999999998,10237
732,239,12,4,59.16,10238
733,239,13,2,29.58,10238
734,239,28,4,9.96,10238
735,239,8,3,29.849999999999998,10238
736,240,4,1,17.25,10239
737,240,16,4,30.0,10239
738,240,29,4,12.0,10239
739,240,9,2,23.78,10239
740,240,14,3,40.47,10239
741,241,17,3,22.5,10240
742,241,27,4,6.0,10240
743,242,5,3,34.95,10241
744,242,13,1,14.79,10241
745,243,11,3,44.37,10242
746,244,15,4,37.0,10243
747,244,11,5,73.94999999999999,10243
748,245,5,4,46.6,10244
749,245,15,5,46.25,10244
750,245,2,4,46.76,10244
751,245,29,2,6.0,10244
752,246,12,5,73.94999999999999,10245
753,246,26,1,6.25,10245
754,246,24,3,13.200000000000001,10245
755,246,12,2,29.58,10245
756,247,29,1,3.0,10246
757,247,29,5,15.0,10246
758,247,10,1,14.79,10246
759,247,13,2,29.58,10246
760,248,1,1,10.49,10247
761,249,18,5,37.5,10248
762,249,4,1,17.25,10248
763,249,18,5,37.5,10248
764,250,5,4,46.6,10249
765,250,10,4,59.16,10249
766,250,18,2,15.0,10249
767,251,12,4,59.16,10250
768,251,11,2,29.58,10250
769,252,22,2,4.0,10251
770,253,3,5,64.45,10252
771,253,21,3,7.5,10252
772,253,29,3,9.0,10252
773,254,20,5,22.5,10253
774,254,10,4,59.16,10253
775,255,16,2,15.0,10254
776,255,18,4,30.0,10254
777,255,16,1,7.5,10254
778,255,18,4,30.0,10254
779,255,12,1,14.79,10254
780,256,3,4,51.56,10255
781,256,20,2,9.0,10255
782,256,11,1,14.79,10255
783,257,5,2,23.3,10256
784,257,24,1,4.4,10256
785,257,21,5,12.5,10256
786,257,26,2,12.5,10256
787,258,4,4,69.0,10257
788,259,8,3,29.849999999999998,10258
789,259,11,1,14.79,10258
790,259,21,2,5.0,10258
791,260,18,5,37.5,10259
792,260,8,2,19.9,10259
793,260,9,3,35.67,10259
794,260,12,4,59.16,10259
795,261,10,1,14.79,10260
796,261,15,3,27.75,10260
797,261,26,4,25.0,10260
798,262,25,1,7.5,10261
799,262,28,4,9.96,10261
800,263,14,3,40.47,10262
801,263,13,4,59.16,10262
802,263,27,5,7.5,10262
803,263,4,2,34.5,10262
804,264,27,2,3.0,10263
805,265,16,3,22.5,10264
806,265,23,5,44.75,10264
807,265,15,1,9.25,10264
808,265,4,1,17.25,10264
809,265,25,5,37.5,10264
810,266,21,2,5.0,10265
811,266,28,4,9.96,10265
812,266,20,3,13.5,10265
813,266,2,5,58.449999999999996,10265
814,267,7,3,38.25,10266
815,268,16,3,22.5,10267
816,268,26,4,25.0,10267
817,268,22,1,2.0,10267
818,269,5,2,23.3,10268
819,269,24,5,22.0,10268
820,269,23,4,35.8,10268
821,269,2,5,58.449999999999996,10268
822,269,13,4,59.16,10268
823,270,13,2,29.58,10269
824,270,28,4,9.96,10269
825,270,12,2,29.58,10269
826,271,24,2,8.8,10270
827,271,2,3,35.07,10270
828,271,3,1,12.89,10270
829,271,15,1,9.25,10270
830,271,14,4,53.96,10270
831,272,5,4,46.6,10271
832,272,4,4,69.0,10271
833,272,9,1,11.89,10271
834,272,27,5,7.5,10271
835,273,8,5,49.75,10272
836,273,27,3,4.5,10272
837,273,25,5,37.5,10272
838,273,3,2,25.78,10272
839,274,29,5,15.0,10273
840,274,16,4,30.0,10273
841,274,12,1,14.79,10273
842,275,25,4,30.0,10274
843,275,20,5,22.5,10274
844,276,5,3,34.95,10275
845,276,22,4,8.0,10275
846,276,19,1,2.99,10275
847,276,26,1,6.25,10275
848,277,10,5,73.94999999999999,10276
849,277,23,2,17.9,10276
850,277,21,1,2.5,10276
851,277,9,4,47.56,10276
852,277,26,3,18.75,10276
853,278,23,2,17.9,10277
854,278,25,2,15.0,10277
855,279,2,2,23.38,10278
856,279,9,2,23.78,10278
857,279,16,1,7.5,10278
858,279,19,2,5.98,10278
859,280,16,3,22.5,10279
860,280,10,4,59.16,10279
861,280,10,3,44.37,10279
862,280,14,1,13.49,10279
863,280,21,3,7.5,10279
864,281,2,2,23.38,10280
865,281,1,3,31.47,10280
866,281,5,4,46.6,10280
867,281,20,2,9.0,10280
868,281,2,2,23.38,10280
869,282,25,4,30.0,10281
870,282,28,3,7.470000000000001,10281
871,282,15,4,37.0,10281
872,282,16,3,22.5,10281
873,283,21,3,7.5,10282
874,283,15,5,46.25,10282
875,284,13,4,59.16,10283
876,284,27,5,7.5,10283
877,284,18,3,22.5,10283
878,284,6,5,49.75,10283
879,285,30,2,7.5,10284
880,286,15,1,9.25,10285
881,286,6,3,29.849999999999998,10285
882,286,28,1,2.49,10285
883,287,25,4,30.0,10286
884,287,10,5,73.94999999999999,10286
885,287,2,4,46.76,10286
886,287,18,5,37.5,10286
887,287,9,1,11.89,10286
888,288,21,1,2.5,10287
889,288,8,3,29.849999999999998,10287
890,288,26,3,18.75,10287
891,289,3,5,64.45,10288
892,289,23,2,17.9,10288
893,289,25,2,15.0,10288
894,290,20,4,18.0,10289
895,290,3,5,64.45,10289
896,290,17,1,7.5,10289
897,290,15,2,18.5,10289
898,290,11,4,59.16,10289
899,291,17,1,7.5,10290
900,291,1,5,52.45,10290
901,292,9,2,23.78,10291
902,292,8,4,39.8,10291
903,292,13,5,73.94999999999999,10291
904,292,16,3,22.5,10291
905,293,20,5,22.5,10292
906,294,13,1,14.79,10293
